post_id,filename,description,likes,comments,views
"1252284946146553934","2016-05-17_1252284946146553934.jpg","Lower naval surface anchor done at #albanymodernbodyart  by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #tragicapparel #impactalbany #girlswithpiercings","6","0","0"
"1252287347830190252","2016-05-17_1252287347830190252.jpg","Right hip surface anchor done at #albanymodernbodyart  by #piercing_by_gina #tragicempire #professionalpiercings #publishedpiercer #impactalbany #girlswithpiercings","6","0","0"
"1252288028054024395","2016-05-17_1252288028054024395.jpg","Left hip surface anchor done at #albanymodernbodyart  by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","6","0","0"
"1253971977893474459","2016-05-20_1253971977893474459.jpg","Fun lip piercing done at #albanymodernbodyart  by #piercing_by_gina #professionalpiercings #publishedpiercer #girlswithpiercings #tragicempire #impactalbany","13","0","0"
"1253972644963971247","2016-05-20_1253972644963971247.jpg","Anti-eyebrow done at #albanymodernbodyart  by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","9","0","0"
"1253973855289110731","2016-05-20_1253973855289110731.jpg","Horizontal eyebrow done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","7","0","0"
"1264761392634950259","2016-06-04_1264761392634950259.jpg","Got to do this fun project today at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #tragicempire #girlswithpiercings","10","0","0"
"1264787281447907788","2016-06-04_1264787281447907788.jpg","Clavical surface anchor done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #girlswithpiercings","5","0","0"
"1270600143068098879","2016-06-12_1270600143068098879.jpg","Got to do a fun #surface anchor done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #guyswithtattoos #guyswithpiercings #tragicempire #impactalbany","10","2","0"
"1272767850257478403","2016-06-15_1272767850257478403.jpg","#surface anchor done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #impactalbany #tragicempire #girlswithpiercings","7","0","0"
"1278463123164131551","2016-06-22_1278463123164131551.jpg","About 3 months into the healing still looking awesome. Triple conch piercing done on@cawfeeboss done at #albanymodernbodyart  by #piercing_by_gina","9","1","0"
"1278464045734850820","2016-06-22_1278464045734850820.jpg","Double forward helix done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","9","1","0"
